ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
3,390,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.39403796195984,5000,-1,50,0.05,0.1
3,405,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.546361207962036,5000,-1,50,0.05,0.1
3,420,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.490954875946045,5000,-1,50,0.05,0.1
3,435,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.318840980529785,5000,-1,50,0.05,0.1
3,450,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.45370054244995,5000,-1,50,0.05,0.1
3,465,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.41497731208801,5000,-1,50,0.05,0.1
3,480,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.57611322402954,5000,-1,50,0.05,0.1
3,495,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.376585960388184,5000,-1,50,0.05,0.1
3,510,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.363200426101685,5000,-1,50,0.05,0.1
3,525,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.37609314918518,5000,-1,50,0.05,0.1
3,540,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.33748149871826,5000,-1,50,0.05,0.1
3,555,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.4691801071167,5000,-1,50,0.05,0.1
3,570,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.34409976005554,5000,-1,50,0.05,0.1
3,585,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.401185750961304,5000,-1,50,0.05,0.1
3,600,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.3760244846344,5000,-1,50,0.05,0.1
3,615,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.19171333312988,5000,-1,50,0.05,0.1
3,630,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.3291449546814,5000,-1,50,0.05,0.1
3,645,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.29442834854126,5000,-1,50,0.05,0.1
3,660,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.297914028167725,5000,-1,50,0.05,0.1
3,675,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.39544892311096,5000,-1,50,0.05,0.1
3,690,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.27294373512268,5000,-1,50,0.05,0.1
3,705,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.418553829193115,5000,-1,50,0.05,0.1
3,720,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.33863091468811,5000,-1,50,0.05,0.1
3,735,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.42167115211487,5000,-1,50,0.05,0.1
3,750,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.33713912963867,5000,-1,50,0.05,0.1
3,765,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.31537628173828,5000,-1,50,0.05,0.1
3,780,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.55229139328003,5000,-1,50,0.05,0.1
3,795,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.31335783004761,5000,-1,50,0.05,0.1
3,810,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.4600567817688,5000,-1,50,0.05,0.1
3,825,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.33917474746704,5000,-1,50,0.05,0.1
3,840,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.28147840499878,5000,-1,50,0.05,0.1
3,855,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.29723525047302,5000,-1,50,0.05,0.1
3,870,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.37024164199829,5000,-1,50,0.05,0.1
3,885,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.50654315948486,5000,-1,50,0.05,0.1
3,900,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.55707359313965,5000,-1,50,0.05,0.1
3,915,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.50130915641785,5000,-1,50,0.05,0.1
3,930,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.45527243614197,5000,-1,50,0.05,0.1
3,945,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.43328547477722,5000,-1,50,0.05,0.1
3,960,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.34773802757263,5000,-1,50,0.05,0.1
3,975,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.378474712371826,5000,-1,50,0.05,0.1
3,990,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.364904165267944,5000,-1,50,0.05,0.1
3,1005,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.322508096694946,5000,-1,50,0.05,0.1
3,1020,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.41285157203674,5000,-1,50,0.05,0.1
3,1035,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.498071908950806,5000,-1,50,0.05,0.1
3,1050,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.41706109046936,5000,-1,50,0.05,0.1
3,1065,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.22224450111389,5000,-1,50,0.05,0.1
3,1080,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.30528235435486,5000,-1,50,0.05,0.1
3,1095,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.48008871078491,5000,-1,50,0.05,0.1
3,1110,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.296483516693115,5000,-1,50,0.05,0.1
3,1125,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.373536586761475,5000,-1,50,0.05,0.1
3,1140,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.26138091087341,5000,-1,50,0.05,0.1
3,1155,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.33547878265381,5000,-1,50,0.05,0.1
3,1170,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.292564392089844,5000,-1,50,0.05,0.1
3,1185,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.3505642414093,5000,-1,50,0.05,0.1
3,1200,32.22001447384459,1.2200144738445928,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,48.02388119697571,5000,-1,50,0.05,0.1
4,15,23.10712853312614,-7.89287146687386,[9 9 0 0 4 5 5 0 6 2],SA,att,30,10,10,0.95,10000,43.83829212188721,5000,-1,50,0.05,0.1
4,30,27.005028748982504,-3.994971251017496,[7 9 2 1 3 9 5 2 0 2],SA,att,30,10,10,0.95,10000,43.683614015579224,5000,-1,50,0.05,0.1
4,45,27.005028748982504,-3.994971251017496,[7 9 2 1 8 9 5 0 5 1],SA,att,30,10,10,0.95,10000,43.69187951087952,5000,-1,50,0.05,0.1
4,60,27.005028748982504,-3.994971251017496,[7 9 2 1 8 9 5 0 5 1],SA,att,30,10,10,0.95,10000,43.64755845069885,5000,-1,50,0.05,0.1
4,75,28.150660784720234,-2.849339215279766,[7 8 4 1 7 8 5 0 3 8],SA,att,30,10,10,0.95,10000,43.74561595916748,5000,-1,50,0.05,0.1
4,90,29.182531881795278,-1.8174681182047223,[7 3 9 1 2 5 5 0 3 6],SA,att,30,10,10,0.95,10000,43.417558908462524,5000,-1,50,0.05,0.1
4,105,29.182531881795278,-1.8174681182047223,[7 3 9 1 2 5 5 0 3 6],SA,att,30,10,10,0.95,10000,46.870232820510864,5000,-1,50,0.05,0.1
4,120,29.182531881795278,-1.8174681182047223,[7 3 9 1 2 5 5 0 3 6],SA,att,30,10,10,0.95,10000,47.79342079162598,5000,-1,50,0.05,0.1
4,135,29.55716693812139,-1.4428330618786092,[7 3 2 2 6 9 5 8 3 8],SA,att,30,10,10,0.95,10000,47.891905546188354,5000,-1,50,0.05,0.1
4,150,31.210682099802977,0.2106820998029768,[7 3 2 1 6 9 5 0 3 6],SA,att,30,10,10,0.95,10000,47.81136178970337,5000,-1,50,0.05,0.1
4,165,32.20873008547514,1.208730085475139,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,47.633790016174316,5000,-1,50,0.05,0.1
4,180,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 6],SA,att,30,10,10,0.95,10000,47.7624831199646,5000,-1,50,0.05,0.1
4,195,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.70638060569763,5000,-1,50,0.05,0.1
4,210,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.7231924533844,5000,-1,50,0.05,0.1
4,225,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.860271692276,5000,-1,50,0.05,0.1
4,240,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.790529012680054,5000,-1,50,0.05,0.1
4,255,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,80.26701545715332,5000,-1,50,0.05,0.1
4,270,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,80.43019223213196,5000,-1,50,0.05,0.1
4,285,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,80.47843933105469,5000,-1,50,0.05,0.1
4,300,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,80.93558764457703,5000,-1,50,0.05,0.1
4,315,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,80.64931344985962,5000,-1,50,0.05,0.1
4,330,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,80.03736162185669,5000,-1,50,0.05,0.1
4,345,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,79.22541666030884,5000,-1,50,0.05,0.1
4,360,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.817832708358765,5000,-1,50,0.05,0.1
4,375,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.74763298034668,5000,-1,50,0.05,0.1
4,390,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.840293884277344,5000,-1,50,0.05,0.1
4,405,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.88493061065674,5000,-1,50,0.05,0.1
4,420,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.80833649635315,5000,-1,50,0.05,0.1
4,435,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.81734871864319,5000,-1,50,0.05,0.1
4,450,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.776867628097534,5000,-1,50,0.05,0.1
4,465,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.82428741455078,5000,-1,50,0.05,0.1
4,480,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.7845995426178,5000,-1,50,0.05,0.1
4,495,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.91796684265137,5000,-1,50,0.05,0.1
4,510,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.764076948165894,5000,-1,50,0.05,0.1
4,525,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.888232469558716,5000,-1,50,0.05,0.1
4,540,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.801135778427124,5000,-1,50,0.05,0.1
4,555,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.82561135292053,5000,-1,50,0.05,0.1
4,570,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.854663610458374,5000,-1,50,0.05,0.1
4,585,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.85098433494568,5000,-1,50,0.05,0.1
4,600,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.78274750709534,5000,-1,50,0.05,0.1
4,615,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.81965494155884,5000,-1,50,0.05,0.1
4,630,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.8188579082489,5000,-1,50,0.05,0.1
4,645,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.890841484069824,5000,-1,50,0.05,0.1
4,660,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.796701431274414,5000,-1,50,0.05,0.1
4,675,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.72179388999939,5000,-1,50,0.05,0.1
4,690,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.79709076881409,5000,-1,50,0.05,0.1
4,705,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.86575794219971,5000,-1,50,0.05,0.1
4,720,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.750404596328735,5000,-1,50,0.05,0.1
4,735,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.76978826522827,5000,-1,50,0.05,0.1
4,750,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.88769555091858,5000,-1,50,0.05,0.1
4,765,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.882434368133545,5000,-1,50,0.05,0.1
4,780,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.78322911262512,5000,-1,50,0.05,0.1
4,795,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.724324226379395,5000,-1,50,0.05,0.1
4,810,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.77503252029419,5000,-1,50,0.05,0.1
4,825,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.89909625053406,5000,-1,50,0.05,0.1
4,840,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.880863904953,5000,-1,50,0.05,0.1
4,855,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.808125019073486,5000,-1,50,0.05,0.1
4,870,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.84269309043884,5000,-1,50,0.05,0.1
4,885,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.68976426124573,5000,-1,50,0.05,0.1
4,900,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.962244749069214,5000,-1,50,0.05,0.1
4,915,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.94967031478882,5000,-1,50,0.05,0.1
4,930,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,48.15215015411377,5000,-1,50,0.05,0.1
4,945,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,48.03497290611267,5000,-1,50,0.05,0.1
4,960,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,48.12830829620361,5000,-1,50,0.05,0.1
4,975,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,48.04572868347168,5000,-1,50,0.05,0.1
4,990,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.83915424346924,5000,-1,50,0.05,0.1
4,1005,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.89633774757385,5000,-1,50,0.05,0.1
4,1020,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.834264039993286,5000,-1,50,0.05,0.1
4,1035,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.93892431259155,5000,-1,50,0.05,0.1
4,1050,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.88343334197998,5000,-1,50,0.05,0.1
4,1065,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.64383244514465,5000,-1,50,0.05,0.1
4,1080,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.49581551551819,5000,-1,50,0.05,0.1
4,1095,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.50974464416504,5000,-1,50,0.05,0.1
4,1110,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.46058511734009,5000,-1,50,0.05,0.1
4,1125,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.51034736633301,5000,-1,50,0.05,0.1
4,1140,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.551839113235474,5000,-1,50,0.05,0.1
4,1155,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,47.577067375183105,5000,-1,50,0.05,0.1
4,1170,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,43.88036036491394,5000,-1,50,0.05,0.1
4,1185,32.2187848735831,1.2187848735830968,[7 3 2 1 9 9 5 0 3 8],SA,att,30,10,10,0.95,10000,43.598190784454346,5000,-1,50,0.05,0.1
