exp,att,solver,hyp,comb,flag,diff
2,attr,APS,APS_A,1,mean,2.9
2,attr,APS,APS_B,1,mean,3.0
2,attr,APS,APS_A,2,mean,2.8
2,attr,APS,APS_B,2,mean,2.7
2,attr,APS,APS_A,3,mean,1.7
2,attr,APS,APS_B,3,mean,1.8
2,attr,APS,APS_A,4,mean,1.6
2,attr,APS,APS_B,4,mean,1.7
2,rep,APS,APS_A,1,mean,1.0
2,rep,APS,APS_B,1,mean,1.0
2,rep,APS,APS_A,2,mean,1.0
2,rep,APS,APS_B,2,mean,1.0
2,rep,APS,APS_A,3,mean,1.0
2,rep,APS,APS_B,3,mean,1.0
2,rep,APS,APS_A,4,mean,1.0
2,rep,APS,APS_B,4,mean,1.0
2,dd,APS,APS_A,1,mean,1.5
2,dd,APS,APS_B,1,mean,1.0
2,dd,APS,APS_A,2,mean,1.8
2,dd,APS,APS_B,2,mean,1.0
2,dd,APS,APS_A,3,mean,1.5
2,dd,APS,APS_B,3,mean,1.0
2,dd,APS,APS_A,4,mean,1.4
2,dd,APS,APS_B,4,mean,1.0
2,pd,APS,APS_A,1,mean,0.9
2,pd,APS,APS_B,1,mean,0.0
2,pd,APS,APS_A,2,mean,2.1
2,pd,APS,APS_B,2,mean,0.0
2,pd,APS,APS_A,3,mean,1.3
2,pd,APS,APS_B,3,mean,0.0
2,pd,APS,APS_A,4,mean,1.2
2,pd,APS,APS_B,4,mean,0.0
2,attr,MCTS,MCTS_A,1,mean,9.6
2,attr,MCTS,MCTS_B,1,mean,13.0
2,attr,MCTS,MCTS_C,1,mean,12.5
2,attr,MCTS,MCTS_D,1,mean,11.3
2,attr,MCTS,MCTS_E,1,mean,11.7
2,attr,MCTS,MCTS_F,1,mean,13.1
2,attr,MCTS,MCTS_A,2,mean,9.7
2,attr,MCTS,MCTS_B,2,mean,12.0
2,attr,MCTS,MCTS_C,2,mean,11.0
2,attr,MCTS,MCTS_D,2,mean,12.1
2,attr,MCTS,MCTS_E,2,mean,10.0
2,attr,MCTS,MCTS_F,2,mean,11.0
2,attr,MCTS,MCTS_A,3,mean,9.8
2,attr,MCTS,MCTS_B,3,mean,12.4
2,attr,MCTS,MCTS_C,3,mean,9.3
2,attr,MCTS,MCTS_D,3,mean,13.5
2,attr,MCTS,MCTS_E,3,mean,11.4
2,attr,MCTS,MCTS_F,3,mean,13.5
2,attr,MCTS,MCTS_A,4,mean,10.8
2,attr,MCTS,MCTS_B,4,mean,11.6
2,attr,MCTS,MCTS_C,4,mean,10.1
2,attr,MCTS,MCTS_D,4,mean,13.3
2,attr,MCTS,MCTS_E,4,mean,12.5
2,attr,MCTS,MCTS_F,4,mean,13.0
2,rep,MCTS,MCTS_A,1,mean,11.5
2,rep,MCTS,MCTS_B,1,mean,11.5
2,rep,MCTS,MCTS_C,1,mean,12.0
2,rep,MCTS,MCTS_D,1,mean,12.7
2,rep,MCTS,MCTS_E,1,mean,9.4
2,rep,MCTS,MCTS_F,1,mean,13.6
2,rep,MCTS,MCTS_A,2,mean,11.3
2,rep,MCTS,MCTS_B,2,mean,11.8
2,rep,MCTS,MCTS_C,2,mean,11.2
2,rep,MCTS,MCTS_D,2,mean,11.4
2,rep,MCTS,MCTS_E,2,mean,11.4
2,rep,MCTS,MCTS_F,2,mean,13.0
2,rep,MCTS,MCTS_A,3,mean,8.9
2,rep,MCTS,MCTS_B,3,mean,13.1
2,rep,MCTS,MCTS_C,3,mean,12.1
2,rep,MCTS,MCTS_D,3,mean,13.2
2,rep,MCTS,MCTS_E,3,mean,10.1
2,rep,MCTS,MCTS_F,3,mean,13.3
2,rep,MCTS,MCTS_A,4,mean,10.3
2,rep,MCTS,MCTS_B,4,mean,12.0
2,rep,MCTS,MCTS_C,4,mean,12.3
2,rep,MCTS,MCTS_D,4,mean,9.9
2,rep,MCTS,MCTS_E,4,mean,11.2
2,rep,MCTS,MCTS_F,4,mean,14.3
2,dd,MCTS,MCTS_A,1,mean,9.9
2,dd,MCTS,MCTS_B,1,mean,11.8
2,dd,MCTS,MCTS_C,1,mean,13.5
2,dd,MCTS,MCTS_D,1,mean,16.3
2,dd,MCTS,MCTS_E,1,mean,10.5
2,dd,MCTS,MCTS_F,1,mean,16.4
2,dd,MCTS,MCTS_A,2,mean,12.3
2,dd,MCTS,MCTS_B,2,mean,11.9
2,dd,MCTS,MCTS_C,2,mean,15.8
2,dd,MCTS,MCTS_D,2,mean,18.4
2,dd,MCTS,MCTS_E,2,mean,10.8
2,dd,MCTS,MCTS_F,2,mean,18.4
2,dd,MCTS,MCTS_A,3,mean,11.8
2,dd,MCTS,MCTS_B,3,mean,12.9
2,dd,MCTS,MCTS_C,3,mean,13.9
2,dd,MCTS,MCTS_D,3,mean,16.3
2,dd,MCTS,MCTS_E,3,mean,11.9
2,dd,MCTS,MCTS_F,3,mean,16.0
2,dd,MCTS,MCTS_A,4,mean,10.7
2,dd,MCTS,MCTS_B,4,mean,12.3
2,dd,MCTS,MCTS_C,4,mean,18.3
2,dd,MCTS,MCTS_D,4,mean,18.4
2,dd,MCTS,MCTS_E,4,mean,10.2
2,dd,MCTS,MCTS_F,4,mean,18.2
2,pd,MCTS,MCTS_A,1,mean,7.4
2,pd,MCTS,MCTS_B,1,mean,7.3
2,pd,MCTS,MCTS_C,1,mean,6.5
2,pd,MCTS,MCTS_D,1,mean,7.6
2,pd,MCTS,MCTS_E,1,mean,5.3
2,pd,MCTS,MCTS_F,1,mean,9.7
2,pd,MCTS,MCTS_A,2,mean,7.8
2,pd,MCTS,MCTS_B,2,mean,6.5
2,pd,MCTS,MCTS_C,2,mean,5.6
2,pd,MCTS,MCTS_D,2,mean,10.1
2,pd,MCTS,MCTS_E,2,mean,5.7
2,pd,MCTS,MCTS_F,2,mean,9.3
2,pd,MCTS,MCTS_A,3,mean,1.8
2,pd,MCTS,MCTS_B,3,mean,4.4
2,pd,MCTS,MCTS_C,3,mean,5.7
2,pd,MCTS,MCTS_D,3,mean,7.8
2,pd,MCTS,MCTS_E,3,mean,5.7
2,pd,MCTS,MCTS_F,3,mean,7.2
2,pd,MCTS,MCTS_A,4,mean,9.8
2,pd,MCTS,MCTS_B,4,mean,7.8
2,pd,MCTS,MCTS_C,4,mean,4.3
2,pd,MCTS,MCTS_D,4,mean,11.9
2,pd,MCTS,MCTS_E,4,mean,7.6
2,pd,MCTS,MCTS_F,4,mean,8.8
2,attr,RME,RME,1,mean,16.6
2,attr,RME,RME,2,mean,16.2
2,attr,RME,RME,3,mean,15.1
2,attr,RME,RME,4,mean,15.3
2,rep,RME,RME,1,mean,15.1
2,rep,RME,RME,2,mean,15.1
2,rep,RME,RME,3,mean,14.5
2,rep,RME,RME,4,mean,15.0
2,dd,RME,RME,1,mean,16.4
2,dd,RME,RME,2,mean,18.0
2,dd,RME,RME,3,mean,15.9
2,dd,RME,RME,4,mean,18.0
2,pd,RME,RME,1,mean,15.0
2,pd,RME,RME,2,mean,15.0
2,pd,RME,RME,3,mean,15.4
2,pd,RME,RME,4,mean,15.0
2,attr,SA,SA_A,1,mean,2.7
2,attr,SA,SA_B,1,mean,7.2
2,attr,SA,SA_C,1,mean,4.1
2,attr,SA,SA_D,1,mean,4.8
2,attr,SA,SA_E,1,mean,5.5
2,attr,SA,SA_F,1,mean,11.3
2,attr,SA,SA_A,2,mean,2.9
2,attr,SA,SA_B,2,mean,6.9
2,attr,SA,SA_C,2,mean,3.7
2,attr,SA,SA_D,2,mean,4.2
2,attr,SA,SA_E,2,mean,5.6
2,attr,SA,SA_F,2,mean,10.0
2,attr,SA,SA_A,3,mean,1.9
2,attr,SA,SA_B,3,mean,6.9
2,attr,SA,SA_C,3,mean,2.5
2,attr,SA,SA_D,3,mean,5.5
2,attr,SA,SA_E,3,mean,5.0
2,attr,SA,SA_F,3,mean,9.8
2,attr,SA,SA_A,4,mean,1.8
2,attr,SA,SA_B,4,mean,4.2
2,attr,SA,SA_C,4,mean,2.1
2,attr,SA,SA_D,4,mean,5.6
2,attr,SA,SA_E,4,mean,4.5
2,attr,SA,SA_F,4,mean,9.1
2,rep,SA,SA_A,1,mean,1.0
2,rep,SA,SA_B,1,mean,5.2
2,rep,SA,SA_C,1,mean,1.7
2,rep,SA,SA_D,1,mean,8.8
2,rep,SA,SA_E,1,mean,4.9
2,rep,SA,SA_F,1,mean,8.9
2,rep,SA,SA_A,2,mean,1.0
2,rep,SA,SA_B,2,mean,4.4
2,rep,SA,SA_C,2,mean,2.1
2,rep,SA,SA_D,2,mean,8.9
2,rep,SA,SA_E,2,mean,3.7
2,rep,SA,SA_F,2,mean,10.9
2,rep,SA,SA_A,3,mean,1.0
2,rep,SA,SA_B,3,mean,5.3
2,rep,SA,SA_C,3,mean,4.4
2,rep,SA,SA_D,3,mean,9.7
2,rep,SA,SA_E,3,mean,4.0
2,rep,SA,SA_F,3,mean,12.1
2,rep,SA,SA_A,4,mean,1.0
2,rep,SA,SA_B,4,mean,4.6
2,rep,SA,SA_C,4,mean,3.6
2,rep,SA,SA_D,4,mean,4.7
2,rep,SA,SA_E,4,mean,3.5
2,rep,SA,SA_F,4,mean,11.8
2,dd,SA,SA_A,1,mean,1.0
2,dd,SA,SA_B,1,mean,4.5
2,dd,SA,SA_C,1,mean,12.6
2,dd,SA,SA_D,1,mean,15.8
2,dd,SA,SA_E,1,mean,3.4
2,dd,SA,SA_F,1,mean,16.8
2,dd,SA,SA_A,2,mean,6.8
2,dd,SA,SA_B,2,mean,3.7
2,dd,SA,SA_C,2,mean,16.1
2,dd,SA,SA_D,2,mean,18.2
2,dd,SA,SA_E,2,mean,7.9
2,dd,SA,SA_F,2,mean,18.2
2,dd,SA,SA_A,3,mean,1.0
2,dd,SA,SA_B,3,mean,5.9
2,dd,SA,SA_C,3,mean,13.1
2,dd,SA,SA_D,3,mean,15.8
2,dd,SA,SA_E,3,mean,3.7
2,dd,SA,SA_F,3,mean,16.2
2,dd,SA,SA_A,4,mean,7.7
2,dd,SA,SA_B,4,mean,3.7
2,dd,SA,SA_C,4,mean,17.7
2,dd,SA,SA_D,4,mean,18.3
2,dd,SA,SA_E,4,mean,5.2
2,dd,SA,SA_F,4,mean,19.1
2,pd,SA,SA_A,1,mean,9.0
2,pd,SA,SA_B,1,mean,1.9
2,pd,SA,SA_C,1,mean,9.1
2,pd,SA,SA_D,1,mean,3.8
2,pd,SA,SA_E,1,mean,6.7
2,pd,SA,SA_F,1,mean,5.2
2,pd,SA,SA_A,2,mean,8.2
2,pd,SA,SA_B,2,mean,2.8
2,pd,SA,SA_C,2,mean,10.3
2,pd,SA,SA_D,2,mean,5.9
2,pd,SA,SA_E,2,mean,3.8
2,pd,SA,SA_F,2,mean,7.9
2,pd,SA,SA_A,3,mean,8.4
2,pd,SA,SA_B,3,mean,1.8
2,pd,SA,SA_C,3,mean,8.9
2,pd,SA,SA_D,3,mean,0.9
2,pd,SA,SA_E,3,mean,6.1
2,pd,SA,SA_F,3,mean,7.0
2,pd,SA,SA_A,4,mean,6.1
2,pd,SA,SA_B,4,mean,2.9
2,pd,SA,SA_C,4,mean,9.0
2,pd,SA,SA_D,4,mean,2.9
2,pd,SA,SA_E,4,mean,4.4
2,pd,SA,SA_F,4,mean,7.4
