n_exp,w1,w2,k_value,rho,n_obs,n_hidden,T,original_phrase,attacked_phrase,hamming_d2target,d2original,exp_util,original_acc,attacked_acc,seconds
9,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['political', 'died', 'day', 'states', 'past', 'help', 'told', 'one', 'venezuela', 'late', 'thursday', '2003', 'talks', 'wounded', 'iraqi', 'met', 'militants', 'leaders', 'countries', 'thursday', 'work', '-', 'time', '(', 'talks', 'council', 'army', 'palestinian', 'organization', 'company']",0.13333333333333333,0.0,67.07491416587526,1.0,0.06666666666666667,1500
5,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['later', 'control', 'defense', 'found', 'tuesday', 'weeks', 'force', 'pakistan', 'province', 'elections', 'many', 'government', 'announced', 'tehran', 'would', 'three', 'arrested', 'meeting', 'detained', 'security', 'second', 'agency', 'border', 'control', '.', 'gaza', 'european', 'britain', 'defense', 'public']",0.06666666666666667,0.0,65.03093484138172,1.0,0.0,1500
8,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['began', 'energy', 'visit', 'say', 'israel', 'insurgents', 'foreign', 'end', 'began', 'wednesday', 'fire', 'took', 'defense', 'months', 'rebels', 'opposition', 'members', 'news', 'news', 'flu', 'wounded', 'reports', 'capital', 'efforts', 'found', 'could', 'union', 'talks', 'american', 'party']",0.2,0.0,68.66196370105679,1.0,0.03333333333333333,1500
4,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['hamas', 'virus', 'afghanistan', 'insurgents', 'called', 'meeting', 'prices', 'take', 'defense', 'made', 'meet', 'chavez', 'three', 'plan', 'global', 'house', 'work', 'local', 'spokesman', 'one', 'head', 'agreement', 'european', 'united', 'chinese', 'top', 'wednesday', 'workers', 'south', 'elections']",0.1,0.0,65.18925642290988,1.0,0.2,1500
7,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['sudan', 'hit', 'venezuela', 'past', 'talks', 'killing', 'french', '(', 'sudan', 'second', 'saturday', 'russia', 'january', 'agency', 'says', 'take', 'area', 'death', 'organization', 'french', 'palestinian', 'also', 'pakistani', 'france', 'african', 'may', 'venezuela', 'also', 'mr.', 'time']",0.06666666666666667,0.03333333333333333,65.55232188458292,1.0,0.23333333333333334,1500
6,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['chinese', 'official', 'attacks', 'high', 'african', 'bird', 'billion', 'many', 'force', 'men', 'people', 'iranian', 'oil', 'months', 'groups', 'blast', 'global', 'sunday', 'fire', 'wednesday', 'islamic', 'support', 'killed', 'take', 'following', 'israeli', ""shi'ite"", 'new', 'oil', 'five']",0.06666666666666667,0.0,64.45656968784722,1.0,0.03333333333333333,1500
1,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['among', 'died', 'baghdad', 'troops', 'took', 'talks', 'talks', 'general', 'southern', '20', 'several', 'house', 'years', 'japan', 'man', 'israel', 'india', 'billion', 'attack', 'hamas', 'years', 'among', 'seven', 'three', 'top', 'baghdad', 'second', '(', 'bird', 'war']",0.26666666666666666,0.03333333333333333,72.92130886666757,1.0,0.2,1500
0,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['human', 'years', 'opposition', 'foreign', 'began', 'militants', 'members', 'home', 'years', 'police', 'next', 'flu', 'called', 'parliament', 'wednesday', 'set', 'next', 'baghdad', 'soldiers', 'least', 'forces', 'top', '10', ')', 'day', 'troops', 'top', 'council', 'eu', 'recent']",0.2,0.0,69.82849929601353,1.0,0.1,1500
3,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['saturday', 'ago', 'organization', 'saturday', 'authorities', 'made', 'insurgents', 'arrested', 'iran', 'office', 'military', 'sunday', 'weapons', 'public', 'year', 'man', 'arrested', 'iranian', 'department', ""'"", 'global', 'car', 'month', 'vote', 'first', 'set', 'power', 'al-qaida', 'secretary', 'including']",0.06666666666666667,0.0,64.57147633310086,1.0,0.13333333333333333,1500
2,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['war', '-', ""'s"", ""shi'ite"", 'one', 'attacks', 'outside', 'help', 'says', 'chavez', 'reported', 'growth', 'minister', 'released', 'weapons', 'election', 'united', 'plan', 'efforts', '20', 'confirmed', 'deal', 'early', 'chief', 'soldiers', 'least', 'program', 'late', 'people', ""shi'ite""]",0.16666666666666666,0.0,68.76394267582259,1.0,0.13333333333333333,1500
1,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['national', 'soldiers', 'international', 'men', 'say', 'recent', 'men', 'newspaper', 'suspected', 'pakistani', 'died', 'rights', 'years', '20', 'sudan', ')', 'members', 'still', 'men', 'growth', 'place', 'growth', 'bomb', 'weapons', 'house', '2003', 'least', 'work', 'said', 'countries']",0.26666666666666666,0.0,70.97668564672539,1.0,0.1,3000
0,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['would', 'ago', 'group', 'democratic', 'charges', 'european', 'plans', 'city', 'court', 'growth', 'central', 'chavez', 'china', 'security', 'reports', 'expected', 'aid', 'hit', 'vote', 'political', 'police', 'members', 'visit', 'city', 'britain', 'world', 'flu', 'insurgents', 'suicide', 'court']",0.13333333333333333,0.0,66.9877990046076,1.0,0.1,3000
3,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['elections', 'told', 'died', 'talks', 'global', 'former', 'weeks', 'violence', 'late', 'military', 'agreement', 'soldiers', 'groups', 'health', 'men', ',', 'general', 'islamic', 'africa', 'tuesday', 'russia', 'political', 'general', 'food', 'media', 'expected', 'second', 'former', 'killed', 'al-qaida']",0.3333333333333333,0.03333333333333333,75.88519572836701,1.0,0.26666666666666666,3000
2,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['attack', 'released', 'energy', 'aid', 'officials', 'month', 'court', 'international', 'minister', 'nuclear', 'terrorist', 'part', 'others', 'states', 'parliament', ',', 'countries', ',', 'group', 'united', 'soldiers', 'palestinian', ')', 'violence', 'number', 'groups', 'states', 'venezuela', 'place', 'taleban']",0.16666666666666666,0.1,73.70221067631026,1.0,0.16666666666666666,3000
9,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['rebels', 'said', 'among', 'officials', 'elections', '2003', 'talks', 'number', 'years', 'news', ',', 'second', 'years', 'nation', 'people', 'came', 'al-qaida', ',', 'weeks', 'global', 'arrested', 'africa', ')', 'afghanistan', 'nations', 'israeli', 'several', 'men', 'al-qaida', ',']",0.4666666666666667,0.2,89.8708637792059,1.0,0.36666666666666664,3000
5,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['authorities', 'still', 'among', 'car', 'six', 'former', 'visit', '(', 'france', 'media', 'plans', 'efforts', 'weeks', 'insurgents', 'people', 'bird', 'elections', 'others', 'bomb', 'insurgents', 'north', 'years', 'found', 'weeks', 'four', 'would', 'northern', 'insurgents', 'early', 'turkey']",0.4,0.13333333333333333,81.0942511675849,1.0,0.16666666666666666,3000
8,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['weapons', 'said', 'near', 'countries', 'two', 'countries', 'people', 'next', 'accused', 'officials', ',', 'people', 'global', 'years', 'months', ',', 'forces', ',', 'korea', 'rebels', 'forces', 'people', 'darfur', 'members', 'washington', ""'s"", 'chinese', 'weeks', ')', 'spokesman']",0.7,0.23333333333333334,100.52680364270795,1.0,0.43333333333333335,3000
4,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['washington', 'sudan', 'first', 'since', '10', 'israel', 'talks', 'five', 'month', 'years', 'billion', 'reporters', 'car', 'soldiers', 'hit', 'pakistan', 'early', 'world', 'place', 'say', 'members', 'said', 'economy', 'came', 'rebels', 'meanwhile', 'wounded', 'fighting', 'used', 'reporters']",0.23333333333333334,0.03333333333333333,71.68860366048838,1.0,0.13333333333333333,3000
7,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['u.n.', 'said', 'southern', 'members', 'six', 'talks', 'elections', 'suspected', 'rights', 'countries', ',', 'released', 'baghdad', 'terrorist', 'rights', ',', 'man', 'countries', 'years', 'states', 'others', 'years', 'program', 'tehran', 'elections', 'last', 'prime', 'rebels', ')', 'chinese']",0.4666666666666667,0.2,90.15379682288929,1.0,0.4,3000
6,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['elections', 'said', 'wednesday', 'countries', 'israeli', 'south', 'pakistan', 'another', 'spokesman', 'soldiers', ',', 'israeli', 'men', ',', 'late', 'killed', 'southern', ',', 'months', 'states', 'insurgents', 'soldiers', 'weeks', 'leaders', 'local', ""'s"", 'russian', 'leaders', ')', 'trade']",0.5333333333333333,0.26666666666666666,93.95744592227888,1.0,0.36666666666666664,3000
2,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['workers', 'support', 'economy', 'council', 'one', '""', 'members', '(', 'british', 'detained', 'food', 'iranian', 'people', 'local', 'elections', 'nato', 'years', ',', 'forces', 'charges', 'authorities', 'members', '20', 'people', 'among', ""'s"", 'islamic', 'including', ')', 'number']",0.4666666666666667,0.13333333333333333,86.82338138740316,1.0,0.2,6000
3,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['people', 'said', 'killing', 'countries', 'six', 'talks', 'troops', '(', 'since', 'attacks', ',', 'people', 'officials', ',', 'groups', ',', 'officials', ',', 'following', 'end', 'officials', 'weapons', 'political', 'years', 'soldiers', ""'s"", 'several', 'officials', 'virus', 'place']",0.8,0.3,108.62486297974638,1.0,0.4,6000
0,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['washington', 'bomb', 'democratic', 'groups', 'african', 'afghanistan', 'officials', '(', 'prime', 'afghanistan', 'talks', 'militants', 'countries', 'meeting', 'year', 'weeks', 'told', 'month', 'reporters', 'friday', 'pakistani', 'last', 'baghdad', 'troops', 'african', 'plan', 'western', 'countries', 'sudan', 'made']",0.3,0.03333333333333333,74.87525310142615,1.0,0.2,6000
1,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['thousands', 'told', 'others', 'insurgents', 'town', 'troops', 'early', 'mr.', 'charges', 'groups', ',', 'states', 'authorities', 'u.n.', 'rights', 'minister', 'groups', ',', 'members', 'human', 'u.n.', 'days', 'house', 'taleban', 'took', 'military', 'work', 'thousands', 'also', 'israeli']",0.4,0.06666666666666667,80.08840851599241,1.0,0.23333333333333334,6000
6,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['charges', 'said', 'since', 'elections', 'six', 'days', 'talks', '(', 'among', 'officials', ',', 'members', 'thousands', ',', 'troops', ',', 'people', ',', 'militants', 'states', 'attacks', 'militants', ')', 'people', 'defense', ""'s"", 'mr.', 'talks', 'eu', 'near']",0.8333333333333334,0.4,110.85322891196198,1.0,0.5333333333333333,6000
7,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['years', 'said', 'among', 'people', 'six', 'officials', 'talks', '(', 'outside', 'troops', ',', 'people', 'troops', ',', 'members', ',', 'forces', ',', 'forces', 'states', 'others', 'forces', ')', 'officials', 'talks', ""'s"", 'nuclear', 'officials', ')', ',']",0.9666666666666667,0.4666666666666667,119.7627095809393,1.0,0.5666666666666667,6000
8,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['officials', 'said', 'iraqi', 'countries', 'four', 'soldiers', 'soldiers', '(', 'among', 'troops', ',', 'years', 'forces', ',', 'talks', ',', 'others', ',', 'japan', 'states', 'insurgents', 'groups', ')', 'men', 'talks', ""'s"", 'nuclear', 'rebels', ')', ',']",0.9,0.43333333333333335,115.78943005479098,1.0,0.5333333333333333,6000
4,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['people', 'troops', 'among', 'troops', 'six', 'members', 'talks', 'leaders', 'among', 'officials', ',', 'authorities', 'korea', ',', 'authorities', ',', 'talks', ',', 'authorities', 'states', 'officials', 'officials', 'afghan', 'authorities', 'authorities', ""'s"", 'nuclear', 'attacks', ')', 'violence']",0.8,0.43333333333333335,112.78810605740563,1.0,0.5,6000
9,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['troops', 'said', 'among', 'countries', 'two', 'others', 'years', 'work', 'among', 'years', ',', 'authorities', 'forces', ',', 'people', ',', 'russia', ',', 'soldiers', 'states', 'rebels', 'prime', ')', 'officials', 'officials', ""'s"", 'nuclear', 'people', ')', ',']",0.8666666666666667,0.4666666666666667,116.28765142779798,1.0,0.6,6000
5,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['people', 'said', 'among', 'elections', 'six', 'officials', 'authorities', '(', 'among', 'rebels', ',', 'officials', 'troops', ',', 'police', ',', 'officials', ',', 'people', 'states', 'prices', 'people', 'nation', 'members', 'officials', ""'s"", 'nuclear', 'rights', ')', ',']",0.9,0.43333333333333335,117.0185828646244,1.0,0.5333333333333333,6000
2,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['death', 'said', 'afghan', 'people', 'NUM', 'officials', 'insurgents', 'two', 'say', 'soldiers', 'spokesman', 'people', 'authorities', 'soldiers', 'japan', ',', 'police', 'economic', 'militants', 'states', 'early', 'talks', ')', 'people', 'muslim', ""'s"", 'next', 'people', ')', 'nation']",0.6333333333333333,0.23333333333333334,97.62023010034831,1.0,0.4,9000
3,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['soldiers', 'came', 'thousands', 'militants', 'NUM', 'militants', 'days', 'u.s.', 'three', 'weapons', ',', 'organization', 'people', ',', 'leaders', ',', 'men', ',', 'militants', 'saturday', 'weeks', 'authorities', 'palestinian', 'authorities', 'people', ""'s"", 'first', 'turkey', ')', 'groups']",0.7333333333333333,0.2,100.92018016327471,1.0,0.4,9000
0,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['years', 'said', 'part', 'countries', 'six', 'forces', 'soldiers', '(', 'nation', 'officials', ',', 'officials', 'soldiers', ',', 'soldiers', ',', 'attacks', '-', 'others', 'states', 'rebels', 'days', ')', 'people', 'militants', 'government', 'palestinian', 'authorities', ')', ',']",0.8,0.3333333333333333,107.86636567527742,1.0,0.43333333333333335,9000
1,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['forces', 'said', 'near', 'car', 'recent', 'years', 'officials', '(', 'day', 'people', ',', 'reports', 'thousands', ',', 'elections', ',', 'members', ',', 'forces', 'car', 'militants', 'reports', ')', 'weeks', 'officials', 'since', 'past', 'groups', ')', ',']",0.7666666666666667,0.26666666666666666,104.37863612146174,1.0,0.36666666666666664,9000
6,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['others', 'capital', 'nuclear', 'officials', 'six', 'elections', 'nations', 'say', 'visit', 'war', ',', 'officials', 'officials', 'iraq', 'weeks', ',', 'visit', ',', 'thousands', 'came', 'troops', 'members', ')', 'detained', 'troops', ""'s"", '%', 'people', ')', 'insurgents']",0.6333333333333333,0.23333333333333334,95.51615321035209,1.0,0.3,9000
7,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['leaders', 'said', 'among', 'authorities', 'six', 'rights', 'authorities', '(', 'since', 'leaders', ',', 'months', 'talks', ',', 'troops', 'political', 'detained', 'nation', 'officials', 'states', 'officials', 'charges', ')', 'talks', 'people', ""'s"", 'nuclear', 'NUM', ')', 'political']",0.8,0.36666666666666664,106.36371510938737,1.0,0.4666666666666667,9000
4,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['attacks', 'said', 'force', 'insurgents', 'two', 'months', 'talks', '(', 'among', 'rebels', ',', 'troops', 'authorities', ',', 'elections', ',', 'officials', ',', 'leaders', 'office', 'years', 'elections', 'attacks', 'officials', 'troops', ""'s"", 'nuclear', 'years', 'iraq', ',']",0.8333333333333334,0.3333333333333333,110.41941341524996,1.0,0.36666666666666664,9000
8,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['authorities', 'said', 'town', 'countries', 'NUM', 'years', 'talks', '(', 'since', 'wednesday', 'terrorist', 'insurgents', 'weapons', ',', 'percent', 'western', 'rebels', 'afghan', 'elections', 'billion', 'rebels', 'announced', 'bird', 'next', 'troops', ""'s"", 'top', 'militants', ')', 'may']",0.6333333333333333,0.23333333333333334,97.95917578434074,1.0,0.36666666666666664,9000
5,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['attacks', 'following', 'since', 'rights', 'six', 'authorities', 'rebels', 'came', 'british', 'help', ',', 'thousands', 'rights', 'saturday', 'rebels', 'energy', 'soldiers', 'last', 'officials', 'one', 'january', 'reports', 'northern', 'died', 'support', 'bank', 'spokesman', 'troops', ')', 'troops']",0.4666666666666667,0.1,83.64135632533169,1.0,0.23333333333333334,9000
9,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['nato', 'said', 'among', 'people', 'NUM', 'news', 'attacks', '(', 'reports', 'troops', ',', 'officials', 'says', ',', 'people', ',', 'people', ',', 'forces', 'food', 'forces', 'years', 'including', 'officials', 'insurgents', ""'s"", 'french', 'elections', 'southern', ',']",0.7666666666666667,0.26666666666666666,106.10943421413936,1.0,0.4666666666666667,9000
